timestamp,source,medium,device_category,country,sessions,conversions,revenue
2025-07-26,zalo,direct,tablet,Vietnam,2,1,190000
2025-07-22,facebook,direct,desktop,Indonesia,3,0,0
2025-07-05,facebook,paid,mobile,Thailand,3,0,0
2025-07-11,zalo,referral,tablet,Philippines,3,1,0
2025-07-12,tiktok,direct,desktop,Indonesia,1,0,0
2025-07-10,google,organic,desktop,Malaysia,3,0,0
2025-07-11,instagram,paid,desktop,Philippines,3,0,0
2025-07-04,direct,organic,mobile,Vietnam,2,0,0
2025-07-22,google,referral,mobile,Indonesia,2,0,0
2025-07-20,direct,organic,desktop,Thailand,3,0,0
2025-07-23,google,direct,mobile,Vietnam,2,1,320000
2025-07-12,email,direct,tablet,Philippines,3,0,0
2025-07-12,email,referral,tablet,Thailand,3,0,0
2025-07-14,instagram,direct,desktop,Thailand,1,1,250000
2025-07-15,direct,direct,tablet,Thailand,3,0,0
2025-07-29,google,referral,desktop,Thailand,3,1,320000
2025-07-06,zalo,direct,desktop,Philippines,3,1,450000
2025-07-20,google,direct,tablet,Philippines,2,1,320000
2025-07-18,zalo,paid,tablet,Vietnam,1,0,0
2025-07-02,zalo,organic,mobile,Malaysia,3,1,0
2025-07-09,instagram,direct,mobile,Philippines,3,0,0
2025-07-01,facebook,direct,mobile,Philippines,1,0,0
2025-06-29,zalo,referral,mobile,Indonesia,3,0,0
2025-07-08,email,paid,tablet,Thailand,2,0,0
2025-07-08,email,paid,desktop,Philippines,2,1,450000
2025-07-21,google,referral,mobile,Thailand,2,0,0
2025-07-27,google,paid,tablet,Vietnam,3,0,0
2025-06-29,google,referral,desktop,Indonesia,3,0,0
2025-07-03,zalo,direct,desktop,Indonesia,2,0,0
2025-07-11,facebook,direct,tablet,Indonesia,3,1,320000
2025-07-09,email,paid,tablet,Indonesia,2,0,0
2025-07-09,zalo,direct,tablet,Malaysia,3,0,0
2025-07-22,google,direct,desktop,Thailand,1,0,0
2025-07-20,facebook,paid,desktop,Vietnam,1,0,0
2025-07-21,zalo,referral,mobile,Indonesia,2,0,0
2025-07-27,google,direct,mobile,Vietnam,3,1,320000
2025-07-13,email,referral,mobile,Thailand,1,0,0
2025-07-05,direct,referral,mobile,Vietnam,3,0,0
2025-07-17,tiktok,referral,desktop,Malaysia,3,0,0
2025-07-22,email,referral,tablet,Thailand,3,0,0
2025-07-07,tiktok,direct,desktop,Thailand,3,1,320000
2025-07-21,instagram,referral,desktop,Thailand,1,0,0
2025-07-18,tiktok,direct,desktop,Thailand,2,1,250000
2025-07-10,instagram,paid,tablet,Indonesia,1,0,0
2025-07-27,instagram,paid,mobile,Indonesia,2,0,0
2025-07-19,google,referral,mobile,Malaysia,2,1,190000
2025-07-09,zalo,direct,tablet,Indonesia,1,0,0
2025-07-27,facebook,referral,desktop,Thailand,3,0,0
2025-07-14,direct,direct,desktop,Indonesia,1,0,0
2025-07-05,zalo,organic,mobile,Malaysia,3,0,0
2025-07-27,google,organic,mobile,Thailand,2,1,190000
2025-07-16,google,referral,tablet,Thailand,2,0,0
2025-07-02,direct,referral,mobile,Thailand,1,0,0
2025-07-18,tiktok,organic,mobile,Indonesia,2,0,0
2025-07-13,facebook,direct,mobile,Thailand,1,0,0
2025-07-26,direct,direct,mobile,Malaysia,3,1,450000
2025-07-04,tiktok,referral,desktop,Indonesia,1,1,0
2025-07-03,zalo,referral,tablet,Malaysia,2,0,0
2025-07-07,google,referral,desktop,Vietnam,3,1,0
2025-07-27,email,organic,desktop,Philippines,2,0,0
2025-07-20,instagram,paid,mobile,Philippines,2,0,0
2025-07-15,google,organic,tablet,Philippines,3,0,0
2025-07-03,google,organic,desktop,Thailand,1,1,320000
2025-06-29,facebook,organic,tablet,Philippines,3,0,0
2025-07-27,tiktok,referral,desktop,Malaysia,2,1,450000
